"PatronID","BIBID","YEAR"
"136274","1361499","2019"
"1042280","1274588","2019"
"1056506","1266682","2019"
"1061872","1078685","2019"
"1057914","1353083","2019"
"1041989","1222343","2019"
"1058040","1360772","2019"
"1058040","1330481","2019"
"1058040","1353879","2019"
"1051629","1312305","2019"
"1051629","1214052","2019"
"1051629","1283386","2019"
"1051629","1283588","2019"
"120206","1289592","2019"
"120206","1294999","2019"
"120206","1273030","2019"
"120206","1337503","2019"
"120206","1298862","2019"
"120206","1281960","2019"
"120206","1337532","2019"
"120206","1272098","2019"
"120206","1360801","2019"
"120206","1255664","2019"
"1041223","1337490","2019"
"1047299","1171034","2019"
"1060035","1058983","2019"
"1060035","1295489","2019"
"1060035","1378821","2019"
"138532","1164907","2019"
"138532","1178099","2019"
"138532","1203030","2019"
"1041826","1355796","2019"
"1029468","1222392","2019"
"1029468","1351713","2019"
"1045884","1339284","2019"
"1055251","1264230","2019"
"1055251","1168893","2019"
"1030556","1062640","2019"
"1056731","1138767","2019"
"1042622","1172541","2019"
"1042622","1172541","2019"
"1057545","1317605","2019"
"1053274","1300259","2019"
"1053274","1360788","2019"
"1053274","1131620","2019"
"1004238","1352440","2019"
"1056547","1266682","2019"
"1056488","1266682","2019"
"1056538","1266682","2019"
"1060468","1341766","2019"
"1060472","1341521","2019"
"1060472","1353228","2019"
"1057424","1086984","2019"
"1048836","1242728","2019"
"1048836","1353305","2019"
"1059269","1321353","2019"
"1059269","1295373","2019"
"1003883","1330723","2019"
"1048825","1200135","2019"
"1048825","1349394","2019"
"1048825","1342018","2019"
"1048825","1352112","2019"
"1060403","1193710","2019"
"1049137","1322875","2019"
"1062116","1352808","2019"
"1062116","1280936","2019"
"1062116","1214173","2019"
"1062116","1132573","2019"
"1062116","1323085","2019"
"1034795","1300266","2019"
"114648","1060589","2019"
"1043001","1362188","2019"
"1043001","1323499","2019"
"1055628","1205491","2019"
"1055628","1295895","2019"
"1041989","1047155","2019"
"1054268","1189564","2019"
"1060578","1266682","2019"
"1060564","1294098","2019"
"1060909","1173296","2019"
"1060909","1173296","2019"
"1060909","1173296","2019"
"1060909","1173296","2019"
"1049581","1110077","2019"
"1049581","1202655","2019"
"1049581","1334414","2019"
"1049581","1185405","2019"
"1049581","1073926","2019"
"1058923","1134957","2019"
"1055408","1133730","2019"
"1055408","1292940","2019"
"1055408","1234119","2019"
"1055408","1171962","2019"
"1055408","1217633","2019"
"1055408","1154258","2019"
"1055408","1045559","2019"
"1043272","1207991","2019"
"1043272","1236634","2019"
"1057187","1289109","2019"
"1057187","1289109","2019"
"1057187","1289109","2019"
"1057187","1289109","2019"
"1047199","1378801","2019"
"1053273","1207418","2019"
"1054346","1194723","2019"
"1046948","1310883","2019"
"1046948","1192764","2019"
"1046948","1184394","2019"
"1046948","1351836","2019"
"1046948","1295814","2019"
"1059561","1254328","2019"
"1049102","1292564","2019"
"1043209","1141907","2019"
"1057592","1266682","2019"
"1054379","1319765","2019"
"1056502","1266682","2019"
"1046558","1203231","2019"
"1046558","1217331","2019"
"1049515","1341734","2019"
"1052985","1279499","2019"
"1049540","1293641","2019"
"1049540","1232844","2019"
"1049540","1143202","2019"
"1049540","1253272","2019"
"1060916","1143025","2019"
"1060955","1338307","2019"
"1047609","1221329","2019"
"1047609","1283574","2019"
"125877","1228520","2019"
"125877","1103462","2019"
"1056487","1266682","2019"
"1054251","1028670","2019"
"1054251","1360656","2019"
"1042429","1193989","2019"
"1042429","1354432","2019"
"1041319","1217432","2019"
"1041319","1353068","2019"
"1048038","1169108","2019"
"1048933","1353835","2019"
"1048933","1265014","2019"
"1052024","1056477","2019"
"1061163","1352452","2019"
"1061163","1354060","2019"
"1041846","1150088","2019"
"1030707","1342710","2019"
"1030707","1284363","2019"
"1057497","1174392","2019"
"1042280","1274588","2019"
"1054261","1271765","2019"
"1059149","1323848","2019"
"1059149","1295489","2019"
"1053299","1351732","2019"
"1052134","1175084","2019"
"1052134","1067812","2019"
"1059727","1107037","2019"
"1059219","1250529","2019"
"1056523","1266682","2019"
"1056517","1266682","2019"
"1053977","1009632","2019"
"1053977","1351584","2019"
"1053035","1218300","2019"
"1053084","1218300","2019"
"1049161","1152468","2019"
"1062545","1251367","2019"
"1062545","1277365","2019"
"112473","1081141","2019"
"1059516","1340363","2019"
"1042099","1205363","2019"
"1059184","1295489","2019"
"1051773","1281505","2019"
"1046631","1167517","2019"
"1046631","1220207","2019"
"1046979","1353694","2019"
"1046979","1040358","2019"
"1046939","1353694","2019"
"1054237","1342919","2019"
"1013915","1322881","2019"
"1013915","1067802","2019"
"1049094","1213170","2019"
"1005266","1341230","2019"
"1005266","1268754","2019"
"1035597","1353065","2019"
"1035597","1206197","2019"
"1035597","1105881","2019"
"1053243","1295671","2019"
"1053243","1171396","2019"
"1053243","1124525","2019"
"1053243","1128934","2019"
"1053243","1250725","2019"
"1044729","1231412","2019"
"1044729","1251961","2019"
"1048214","1250475","2019"
"1048037","1039284","2019"
"1048037","1043405","2019"
"1048037","1056756","2019"
"1060521","1341521","2019"
"1048313","1226642","2019"
"1048308","1231812","2019"
"1048315","1150073","2019"
"1051935","1206181","2019"
"1051935","1320583","2019"
"1051545","1310981","2019"
"1051545","1043267","2019"
"1051545","1002813","2019"
"1052674","1334086","2019"
"1052674","1348345","2019"
"1060387","1252060","2019"
"1051551","1323244","2019"
"1054247","1332188","2019"
"1059272","1295489","2019"
